SpeciesName,longitude,latitude,Bio1,Bio12,TempMin,TempMax,PrecMin,PrecMax
Amaranthus_cruentus_L.,71.233,40.983,131,289,40,300,300,2800
Amaranthus_cruentus_L.,72.767,40.767,131,341,40,300,300,2800
Amaranthus_cruentus_L.,31,30,204,25,40,300,300,2800
Amaranthus_cruentus_L.,31,29.5,214,8,40,300,300,2800
Amaranthus_cruentus_L.,23.05,42.167,109,518,40,300,300,2800
Amaranthus_cruentus_L.,31,31,199,61,40,300,300,2800
Amaranthus_cruentus_L.,71.717,40.483,142,206,40,300,300,2800
Amaranthus_cruentus_L.,31.5,31,204,53,40,300,300,2800
Amaranthus_cruentus_L.,31,30.5,207,30,40,300,300,2800
Amaranthus_cruentus_L.,31,27,226,0,40,300,300,2800
Amaranthus_cruentus_L.,44.233,40.233,115,313,40,300,300,2800
Amaranthus_cruentus_L.,67.833,29.667,257,174,40,300,300,2800
Amaranthus_cruentus_L.,30.5,28.5,207,3,40,300,300,2800
Amaranthus_cruentus_L.,31.5,30.5,208,27,40,300,300,2800
Amaranthus_cruentus_L.,31,27.5,213,2,40,300,300,2800
Amaranthus_cruentus_L.,66.75,29.1,132,180,40,300,300,2800
Amaranthus_cruentus_L.,48.3,42.05,123,372,40,300,300,2800
Amaranthus_cruentus_L.,23.283,42.3,79,595,40,300,300,2800
Amaranthus_cruentus_L.,32.5,26,236,1,40,300,300,2800
Amaranthus_cruentus_L.,23.433,41.45,132,499,40,300,300,2800
Amaranthus_cruentus_L.,71.683,41,141,239,40,300,300,2800
Amaranthus_cruentus_L.,42.663,42.616,64,1118,40,300,300,2800
Amaranthus_cruentus_L.,28,36.166,180,878,40,300,300,2800
Amaranthus_cruentus_L.,22.992,42.286,104,526,40,300,300,2800
Amaranthus_cruentus_L.,27.577,42.625,126,572,40,300,300,2800
Amaranthus_cruentus_L.,19.619,41.347,151,1180,40,300,300,2800
Amaranthus_cruentus_L.,21.631,49.427,61,784,40,300,300,2800
Amaranthus_cruentus_L.,20.531,42.141,85,998,40,300,300,2800
Amaranthus_cruentus_L.,19.741,41.443,153,1229,40,300,300,2800
Amaranthus_cruentus_L.,20.25,40.533,109,1110,40,300,300,2800
Amaranthus_cruentus_L.,16.54,38.692,172,869,40,300,300,2800
Amaranthus_cruentus_L.,15.516,38.2,172,806,40,300,300,2800
Amaranthus_cruentus_L.,24.933,42.131,122,542,40,300,300,2800
Amaranthus_cruentus_L.,-8.117,42.515,119,1363,40,300,300,2800
Amaranthus_cruentus_L.,0.134,38.689,177,569,40,300,300,2800
Amaranthus_cruentus_L.,18.163,48.85,78,755,40,300,300,2800
Amaranthus_cruentus_L.,45.327,41.726,114,683,40,300,300,2800
Amaranthus_cruentus_L.,12.05,36.8,172,350,40,300,300,2800
Amaranthus_cruentus_L.,25.686,42.047,126,566,40,300,300,2800
Amaranthus_cruentus_L.,-8.372,42.102,133,1389,40,300,300,2800
Amaranthus_cruentus_L.,9,40.583,144,754,40,300,300,2800
Amaranthus_cruentus_L.,19.866,40.4,141,1193,40,300,300,2800
Amaranthus_cruentus_L.,44.814,41.954,107,703,40,300,300,2800
Amaranthus_cruentus_L.,14.966,38.4,171,651,40,300,300,2800
Amaranthus_cruentus_L.,21,40.6,101,785,40,300,300,2800
Amaranthus_cruentus_L.,27.831,42.989,123,556,40,300,300,2800
Amaranthus_cruentus_L.,43.053,42.11,126,1174,40,300,300,2800
Amaranthus_cruentus_L.,12.346,37.914,178,451,40,300,300,2800
Amaranthus_cruentus_L.,21.01,40.602,87,802,40,300,300,2800
Amaranthus_cruentus_L.,12.316,37.933,176,445,40,300,300,2800
Amaranthus_cruentus_L.,43.851,42.206,82,815,40,300,300,2800
Amaranthus_cruentus_L.,-7.366,43.496,128,989,40,300,300,2800
Amaranthus_cruentus_L.,20.716,40.9,107,863,40,300,300,2800
Amaranthus_cruentus_L.,9.133,39.533,156,495,40,300,300,2800
Amaranthus_cruentus_L.,45.718,42.004,102,794,40,300,300,2800
Amaranthus_cruentus_L.,16.566,40.283,160,580,40,300,300,2800
Amaranthus_cruentus_L.,42.649,42.629,64,1118,40,300,300,2800
Amaranthus_cruentus_L.,10.9,42.366,151,510,40,300,300,2800
Amaranthus_cruentus_L.,-7.634,43.496,108,1199,40,300,300,2800
Amaranthus_cruentus_L.,45.386,41.492,121,587,40,300,300,2800
Amaranthus_cruentus_L.,19.817,41.317,147,1188,40,300,300,2800
Amaranthus_cruentus_L.,23.104,41.889,121,496,40,300,300,2800
Amaranthus_cruentus_L.,19.819,41.328,147,1188,40,300,300,2800
Amaranthus_cruentus_L.,14.816,38.55,166,639,40,300,300,2800
Amaranthus_cruentus_L.,-105.084,40.559,88,377,40,300,300,2800
Amaranthus_cruentus_L.,-84.033,10.011,180,2682,40,300,300,2800
Amaranthus_cruentus_L.,-84.142,9.917,211,1958,40,300,300,2800
Amaranthus_cruentus_L.,24.085,61.502,35,592,40,300,300,2800
Amaranthus_cruentus_L.,22.984,61.294,36,622,40,300,300,2800
Amaranthus_cruentus_L.,25.926,62.605,27,624,40,300,300,2800
Amaranthus_spp.,-77.353,4.956,259,6711,100,350,750,6000
Amaranthus_spp.,-69.95,-4.121,259,2885,100,350,750,6000
Amaranthus_spp.,-75.9,5.398,179,2535,100,350,750,6000
